mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11836028099060059,0.014213040268737773,0.011042308807373048,0.003605487761762065,,2,50,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7577460926789141,0.7648798076923077,0.7786858974358974,0.7462419871794872,0.7512419871794871,0.7597591544332186,0.01134681503074145,2
0.2524245738983154,0.02405129191207883,0.011317634582519531,0.0017110153313599314,,2,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7521572928595622,0.7508974358974358,0.7877564102564103,0.7492067307692307,0.7457772435897436,0.7571590226744765,0.015448033781855799,8
0.4872413635253906,0.016179779532502634,0.017963933944702148,0.002206525003160621,,2,200,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7353263762318748,0.7577083333333333,0.7860657051282051,0.7385176282051281,0.7247516025641025,0.7484739290925287,0.02160162353483856,24
0.12274084091186524,0.005831886184600637,0.008013153076171875,0.0024140668130926478,,5,50,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7403506508169487,0.7591105769230769,0.7778205128205128,0.7484535256410256,0.7362419871794872,0.7523954506762103,0.014920302042020796,19
0.22680387496948243,0.00407875028764961,0.009910488128662109,0.00135447699955671,,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7411087275601219,0.7554006410256411,0.7805849358974358,0.7420272435897436,0.7352964743589745,0.7508836044863834,0.016245089593782035,22
0.45102272033691404,0.0032902770566053197,0.02008953094482422,0.002893587759235067,,5,200,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7409796932208583,0.7575801282051282,0.7848717948717948,0.7432692307692308,0.7348076923076923,0.7523017078749408,0.017913606712911513,20
0.11542062759399414,0.002276592176257107,0.007208347320556641,0.0023947019254715635,,10,50,"{'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7539476443168439,0.7658173076923077,0.7838942307692308,0.7386538461538462,0.7371153846153846,0.7558856827095226,0.017527876161403628,12
0.22557902336120605,0.0018087117476114796,0.009795904159545898,0.0014661245889954929,,10,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7483669091436959,0.7757532051282051,0.7881730769230768,0.7374839743589745,0.7467147435897437,0.7592983818287392,0.01927808416963831,4
0.4393792629241943,0.005068041339573005,0.01770496368408203,0.0015943199025529827,,10,200,"{'classifier__max_depth': None, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.744979757738028,0.7693108974358974,0.7825961538461539,0.7335576923076923,0.7361378205128205,0.7533164643681184,0.019329447279056257,18
0.09921393394470215,0.003709470735509047,0.0049553394317626955,0.0004624002406516582,10,2,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7386893336989306,0.7415705128205128,0.7922435897435897,0.7404807692307693,0.7303685897435899,0.7486705590474785,0.022139011981432886,23
0.19299683570861817,0.007622007514049057,0.009131193161010742,0.0021718333077605225,10,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7440603880707753,0.7468429487179488,0.7972115384615385,0.7449839743589743,0.7406570512820513,0.7547511801782576,0.021324905463419624,16
0.370737886428833,0.007548850299276007,0.01630396842956543,0.0030614366951443135,10,2,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7531573089888547,0.7584294871794871,0.7825961538461538,0.735673076923077,0.7425961538461537,0.7544904361567453,0.01614181946408292,17
0.09803833961486816,0.002161797154853391,0.005252552032470703,0.0011594245680306427,10,5,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7432539234503781,0.76625,0.7835897435897435,0.7324679487179487,0.749423076923077,0.7549969385362295,0.018003897422263663,15
0.18984603881835938,0.004504769052227494,0.008476591110229493,0.0017760331140420802,10,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7479959354183132,0.7634455128205129,0.7852564102564102,0.7421794871794872,0.7406730769230768,0.7559100845195601,0.016741081050752876,11
0.36442718505859373,0.008718978682070819,0.01591315269470215,0.002275045898334854,10,5,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7470765657510604,0.7678044871794871,0.7896634615384615,0.7434935897435897,0.7469391025641026,0.7589954413553401,0.01758322526953677,5
0.09818005561828613,0.004124930087776153,0.0055736064910888675,0.0011407232391283974,10,10,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7525766544621688,0.7674679487179487,0.774150641025641,0.7474358974358973,0.7481089743589744,0.7579480232001261,0.01085649186952414,6
0.18686437606811523,0.002539332952417856,0.008048820495605468,0.0013795256436988294,10,10,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7499153212148582,0.7721634615384616,0.7799198717948719,0.7451121794871796,0.7326121794871795,0.7559446027045101,0.017526896536833626,10
0.37331361770629884,0.01259553365832676,0.014962911605834961,0.0014919594540370262,10,10,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7490120808400136,0.7724198717948718,0.7770032051282052,0.7426923076923078,0.7363782051282051,0.7555011341167207,0.0162508030712547,13
0.11776437759399414,0.0031216386970954577,0.006456184387207031,0.0023415005623254907,20,2,50,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7504959757415444,0.7651923076923077,0.7970272435897435,0.7344551282051281,0.7328445512820513,0.756003041302155,0.02365748837074343,9
0.22634153366088866,0.008126705056922711,0.012293863296508788,0.0019196489172440634,20,2,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7454313779254503,0.7673397435897436,0.7964423076923077,0.7412419871794872,0.737948717948718,0.7576808268671413,0.02193347961466177,7
0.45091819763183594,0.009111578665724788,0.01603546142578125,0.0008302884841149113,20,2,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7413103437152213,0.7591105769230769,0.790713141025641,0.737988782051282,0.7275080128205129,0.7513261713071469,0.022169518635310737,21
0.11509647369384765,0.0037221214888811453,0.006759500503540039,0.0014854671711925747,20,5,50,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7377699640316779,0.7516346153846153,0.7694070512820513,0.7319471153846153,0.7293669871794872,0.7440251466524893,0.014845961639939585,27
0.22929482460021972,0.005599734152281742,0.009901285171508789,0.002017078269213682,20,5,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7411490507911419,0.7464903846153846,0.775176282051282,0.7275801282051282,0.7321794871794871,0.7445150665684848,0.0166991061719794,26
0.41910357475280763,0.025709752734624183,0.01756448745727539,0.0023848555072493033,20,5,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.74049581444862,0.7559294871794872,0.7784855769230768,0.7335576923076923,0.7313942307692307,0.7479725603256214,0.01750935765011516,25
0.11381053924560547,0.003577886455262509,0.0054302215576171875,0.00045994541676127253,20,10,50,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.74551202438749,0.7710096153846153,0.7914102564102563,0.7440224358974359,0.7448397435897436,0.7593588151339082,0.018977763909046985,3
0.22106328010559081,0.004246683502917274,0.010991764068603516,0.00185067376100242,20,10,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7407538831271472,0.775144230769231,0.7932692307692307,0.7433173076923076,0.7494070512820513,0.7603783407279936,0.02047637435140067,1
0.3891191005706787,0.010077430826164668,0.01448836326599121,0.00045824697432388046,20,10,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7446410425974613,0.7676442307692308,0.7899198717948718,0.7388782051282051,0.7339583333333334,0.7550083367246205,0.020924844921183572,14
