mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.23312134742736818,0.028219373351219136,0.009088802337646484,0.0016880958364868333,10,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7440603880707753,0.7468429487179488,0.7972115384615385,0.7449839743589743,0.7406570512820513,0.7547511801782576,0.021324905463419624,16
0.41410369873046876,0.010654759836166268,0.01586489677429199,0.003650809973880825,10,2,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7531573089888547,0.7584294871794871,0.7825961538461538,0.735673076923077,0.7425961538461537,0.7544904361567453,0.01614181946408292,17
0.10713229179382325,0.01086700564995474,0.005214881896972656,0.0006547778365664719,10,5,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7432539234503781,0.76625,0.7835897435897435,0.7324679487179487,0.749423076923077,0.7549969385362295,0.018003897422263663,15
0.20830392837524414,0.018593801238773494,0.010321617126464844,0.0024470247637388277,10,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7479959354183132,0.7634455128205129,0.7852564102564102,0.7421794871794872,0.7406730769230768,0.7559100845195601,0.016741081050752876,11
0.39632368087768555,0.017540891346874407,0.020388317108154298,0.006328060476450182,10,5,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.7470765657510604,0.7678044871794871,0.7896634615384615,0.7434935897435897,0.7469391025641026,0.7589954413553401,0.01758322526953677,5
0.10120410919189453,0.004717869113091192,0.006963253021240234,0.002814477068124808,10,10,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.7525766544621688,0.7674679487179487,0.774150641025641,0.7474358974358973,0.7481089743589744,0.7579480232001261,0.01085649186952414,6
0.2113804817199707,0.00865440146044586,0.009177446365356445,0.0022673555077253964,10,10,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7499153212148582,0.7721634615384616,0.7799198717948719,0.7451121794871796,0.7326121794871795,0.7559446027045101,0.017526896536833626,10
0.387583589553833,0.021380483386022744,0.014915847778320312,0.0020394230301203145,10,10,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7490120808400136,0.7724198717948718,0.7770032051282052,0.7426923076923078,0.7363782051282051,0.7555011341167207,0.0162508030712547,13
0.14675698280334473,0.032252200555946846,0.0056762218475341795,0.0005830396836214445,20,2,50,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.7504959757415444,0.7651923076923077,0.7970272435897435,0.7344551282051281,0.7328445512820513,0.756003041302155,0.02365748837074343,9
0.2453835964202881,0.01741520169631322,0.012565803527832032,0.003965101608021597,20,2,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.7454313779254503,0.7673397435897436,0.7964423076923077,0.7412419871794872,0.737948717948718,0.7576808268671413,0.02193347961466177,7
0.47674560546875,0.013768653324658178,0.019191789627075195,0.00658384928101553,20,2,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7413103437152213,0.7591105769230769,0.790713141025641,0.737988782051282,0.7275080128205129,0.7513261713071469,0.022169518635310737,21
0.13248033523559571,0.01370450805480801,0.006394720077514649,0.001726080464949276,20,5,50,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.7377699640316779,0.7516346153846153,0.7694070512820513,0.7319471153846153,0.7293669871794872,0.7440251466524893,0.014845961639939585,27
0.24573216438293458,0.01250280036520344,0.012474536895751953,0.004324391082783346,20,5,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.7411490507911419,0.7464903846153846,0.775176282051282,0.7275801282051282,0.7321794871794871,0.7445150665684848,0.0166991061719794,26
0.4527266025543213,0.060795787062786474,0.015651655197143555,0.0018827547153335924,20,5,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.74049581444862,0.7559294871794872,0.7784855769230768,0.7335576923076923,0.7313942307692307,0.7479725603256214,0.01750935765011516,25
0.11770939826965332,0.008633591382630076,0.0069043636322021484,0.0021978314444401096,20,10,50,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}",0.74551202438749,0.7710096153846153,0.7914102564102563,0.7440224358974359,0.7448397435897436,0.7593588151339082,0.018977763909046985,3
0.22952532768249512,0.007006020355517536,0.01154322624206543,0.0029604019489461917,20,10,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.7407538831271472,0.775144230769231,0.7932692307692307,0.7433173076923076,0.7494070512820513,0.7603783407279936,0.02047637435140067,1
0.41539411544799804,0.015128646926835944,0.014946460723876953,0.0003042654526781941,20,10,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7446410425974613,0.7676442307692308,0.7899198717948718,0.7388782051282051,0.7339583333333334,0.7550083367246205,0.020924844921183572,14
