mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011083698272705078,0.00048645964502485884,0.0023319244384765623,4.029073653799311e-05,0.01,3,50,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}",0.7467297859642897,0.7994070512820514,0.8040865384615385,0.7604647435897436,0.7380368589743589,0.7697449956543964,0.027130823775240905,2
0.01056222915649414,0.0010283235425020431,0.002317333221435547,0.0002451411714523703,0.01,3,50,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 50, 'classifier__subsample': 1.0}",0.7572783431990839,0.8021233974358974,0.7810176282051282,0.7581089743589744,0.7264423076923077,0.7649941301782783,0.025410693546057978,3
0.014848279953002929,0.001893824213365221,0.002292013168334961,6.832272827741938e-05,0.01,3,100,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7528831110179196,0.7915464743589744,0.80375,0.7598237179487181,0.7416746794871794,0.7699355965625584,0.023673448017786904,1
0.012981033325195313,0.0007182774072778753,0.0022416114807128906,5.54090112473353e-05,0.01,3,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.7415038952241165,0.7929246794871795,0.7797916666666667,0.7577403846153846,0.7399679487179488,0.7623857149422592,0.020956055172588788,6
0.02272191047668457,0.0009726487207439971,0.00313715934753418,0.0013333959579846333,0.01,3,200,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.7462055839610315,0.7844711538461538,0.7957211538461539,0.7477724358974358,0.7412900641025642,0.7630920783306678,0.02243610661265642,4
0.023555421829223634,0.002881064988691037,0.0025263309478759767,8.735695780537743e-05,0.01,3,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.7300924208454975,0.7862740384615385,0.7854647435897436,0.7546233974358973,0.7468509615384615,0.7606611123742277,0.022058382868157735,8
0.01860966682434082,0.002461957989240315,0.0025547504425048827,0.0004694330829712712,0.01,6,50,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}",0.7399151599219341,0.7784935897435898,0.8132371794871793,0.757948717948718,0.7232692307692308,0.7625727755741304,0.03130454356121349,5
0.019230175018310546,0.003453471598493942,0.0029084205627441405,0.0012299822696566459,0.01,6,50,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 50, 'classifier__subsample': 1.0}",0.7270439845803964,0.7662820512820513,0.8073477564102565,0.7582051282051281,0.7166025641025642,0.7550962969160793,0.03204278591286427,13
0.02911520004272461,0.002985363399683335,0.002634572982788086,0.00013431542097792456,0.01,6,100,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7339957096082195,0.7757371794871795,0.8004326923076923,0.7610897435897436,0.7277003205128204,0.7597911291011311,0.026843707810376042,9
0.027265596389770507,0.002655121093292153,0.0031784534454345702,0.0013160654738231306,0.01,6,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.7328747237858676,0.7607211538461538,0.7930208333333333,0.7668509615384616,0.7178525641025642,0.754264047321276,0.026402698224453184,14
0.05697956085205078,0.005220957682526197,0.0032257080078125,0.0004321654005572121,0.01,6,200,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.7287536895756382,0.7697916666666668,0.7890064102564103,0.7559134615384615,0.7321474358974359,0.7551225327869225,0.022746855513770342,12
0.05764613151550293,0.004224636529771365,0.0035907268524169923,0.0011167506047726553,0.01,6,200,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.7261084856207358,0.7599118589743591,0.7754086538461539,0.7748717948717948,0.7123958333333333,0.7497393253292753,0.025872722594868655,18
0.029671192169189453,0.002974161400209059,0.0025675296783447266,1.5060809361457581e-05,0.01,9,50,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 9, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}",0.7229390796625751,0.7831330128205128,0.8120192307692308,0.7547035256410257,0.7332692307692308,0.761212815932515,0.03271048920486073,7
0.032488012313842775,0.003516550270747336,0.0037933826446533204,0.001239922712960672,0.01,9,50,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 9, 'classifier__n_estimators': 50, 'classifier__subsample': 1.0}",0.7095678962563913,0.7784935897435897,0.8002564102564103,0.7567948717948718,0.7432451923076924,0.7576715920717911,0.030886493898011545,10
0.05680980682373047,0.004032693485783686,0.0035411834716796873,0.000655564586828124,0.01,9,100,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 9, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7211729221439056,0.7728205128205128,0.7941666666666667,0.7572596153846155,0.7393429487179487,0.75695253314673,0.02540494770447636,11
0.05784120559692383,0.007598762007750229,0.004313039779663086,0.00175773568231815,0.01,9,100,1.0,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 9, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.7094953144405555,0.7651442307692308,0.7819150641025642,0.7664903846153845,0.7334615384615385,0.7513013064778546,0.026174549075802318,16
0.10629534721374512,0.002620422743342917,0.00609884262084961,0.0023183949667105134,0.01,9,200,0.8,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 9, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.7275762512298585,0.7650801282051282,0.7821153846153847,0.7476282051282052,0.7385576923076923,0.7521915322972538,0.01936063248849787,15
